,src,dest
789,TFAP2C,BCL3
790,TFAP2C,BAG6
791,TFAP2C,ATF3
792,TFAP2C,ACAP2
793,TFAP2C,AATK
794,TFAP2A,ZSWIM6
795,TFAP2A,ZNFX1
796,TFAP2A,ZNF653
797,TFAP2A,ZDHHC2
798,TFAP2A,ZDHHC14
799,TFAP2A,WDFY2
800,TFAP2A,VEGFB
801,TFAP2A,UST
802,TFAP2A,ULK2
803,TFAP2A,UBE2Q1
804,TFAP2A,TUBG2
805,TFAP2A,TRIM8
806,TFAP2A,TPGS1
807,TFAP2A,TMEM200B
808,TFAP2A,TGFA
809,TFAP2A,TFAP2A
810,TFAP2A,TERF2
811,TFAP2A,TBCC
812,TFAP2A,SYT7
813,TFAP2A,SUMO2
814,TFAP2A,STAU1
815,TFAP2A,SRGAP1
816,TFAP2A,SPHK1
817,TFAP2A,SOS1
818,TFAP2A,SNHG4
819,TFAP2A,SMPD1
820,TFAP2A,SMAD7
821,TFAP2A,SKIL
822,TFAP2A,SHMT2
823,TFAP2A,SGK3
824,TFAP2A,SERTAD3
825,TFAP2A,SERPINE1
826,TFAP2A,SDC4
827,TFAP2A,SCAND1
828,TFAP2A,SCAF1
829,TFAP2A,RRAS
830,TFAP2A,RNPEP
831,TFAP2A,RNF19B
832,TFAP2A,RECQL4
833,TFAP2A,PTGS2
834,TFAP2A,PTGDS
835,TFAP2A,PRNP
836,TFAP2A,PRICKLE4
837,TFAP2A,PPL
838,TFAP2A,POLD1
839,TFAP2A,PLK3
840,TFAP2A,PLEKHN1
841,TFAP2A,PLAGL2
842,TFAP2A,PIP4K2B
843,TFAP2A,PHF1
844,TFAP2A,PFKFB3
845,TFAP2A,PEX3
846,TFAP2A,PENK
847,TFAP2A,PDHA1
848,TFAP2A,PBX3
849,TFAP2A,PARP1
850,TFAP2A,PA2G4
851,TFAP2A,ODC1
852,TFAP2A,NR3C1
853,TFAP2A,NQO1
854,TFAP2A,NF1
855,TFAP2A,MYO1C
856,TFAP2A,MUS81
857,TFAP2A,MTRR
858,TFAP2A,MTHFR
859,TFAP2A,MPG
860,TFAP2A,MORF4L1
861,TFAP2A,MIOS
862,TFAP2A,MIDN
863,TFAP2A,MEIS2
864,TFAP2A,MATR3
865,TFAP2A,MARK3
866,TFAP2A,MARK1
867,TFAP2A,MAPT
868,TFAP2A,MAGI3
869,TFAP2A,LSM1
870,TFAP2A,LPP
871,TFAP2A,LOC100131691
872,TFAP2A,LIFR
873,TFAP2A,LHX2
874,TFAP2A,KRT5
